fire Name,NER Name Extracted
Bar Fire,"('Yreka', 'LOCATION')"
Bautista Fire,"('South Fork Wilderness', 'LOCATION'), ('San Bernardino National Forest', 'ORGANIZATION')"
Shasta-Trinity Prescribed Fires 2019-20,"('Forest Service Fire Stations', 'ORGANIZATION'), ('McCloud', 'PERSON'), ('Heather McRae', 'PERSON'), ('Facebook', 'ORGANIZATION'), ('Ranger Stations', 'ORGANIZATION'), ('Shasta-Trinity National Forest', 'LOCATION'), ('Ernie Villa.Pre-planned', 'PERSON')"
2020 Rx Burns,"('Twitter & Facebook', 'ORGANIZATION')"
Evans Creek Fire,"('Nevada', 'LOCATION'), ('Evans Creek', 'LOCATION'), ('Reno', 'PERSON')"
Cattle Fire,
Blue Creek Prescribed Burn,"('Mad Creek', 'LOCATION'), ('Blue Creek', 'LOCATION'), ('Empire', 'LOCATION'), ('Georgetown', 'LOCATION'), ('Clear Creek Fire Authority', 'ORGANIZATION'), ('Colorado Parks', 'LOCATION'), ('Blue Creek Prescribed Burn', 'LOCATION'), ('U.S. Forest Service', 'ORGANIZATION'), ('Clear Creek County', 'LOCATION')"
Briceburg Fire,
Cow Creek Fire,"('West Fork Road', 'LOCATION'), ('Grand Mesa', 'LOCATION'), ('Gunnison National Forests', 'ORGANIZATION'), ('GMUG Lifts Cow Creek Closures Delta', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Ranger Dana Gardunio', 'PERSON'), ('Owl Creek Pass', 'LOCATION'), ('Mesa', 'LOCATION'), ('Spalding Park Trail', 'LOCATION'), ('Ouray', 'LOCATION'), ('Wetterhorn Basin Trail', 'LOCATION'), ('Cow Creek Road', 'LOCATION'), ('Gunnison National Forests Fire Information', 'ORGANIZATION'), ('Owl Creek Pass Road', 'LOCATION'), ('Stealey Mountain North Trail', 'LOCATION'), ('Old Owl Creek Trail', 'LOCATION'), ('Stealey Mountain South Trail', 'LOCATION')"
River Fire,"('Kern County Fire Department', 'ORGANIZATION'), ('Kern River Canyon', 'LOCATION'), ('Unified Command', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Bakersfield', 'LOCATION'), ('California', 'LOCATION'), ('US Forest Service', 'ORGANIZATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('California Highway Patrol', 'LOCATION'), ('Kernville', 'LOCATION'), ('Lake Isabella', 'LOCATION')"
Old Water Fire,"('San Gorgonio High School', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('San Bernardino County', 'LOCATION'), ('Red Cross', 'ORGANIZATION'), ('San Bernardino', 'LOCATION')"
Kincade Fire,"('BLM Ukiah Field Office', 'ORGANIZATION'), ('CalFire Sonoma-Lake-Napa Unit', 'ORGANIZATION')"
Little Baldy SAR 19-153,"('Mississippi', 'LOCATION'), ('Kings Canyon National Park', 'LOCATION'), ('Bay Area', 'LOCATION'), ('Calif.', 'LOCATION'), ('Mary Joanna Gomez', 'PERSON'), ('Gomez', 'PERSON'), ('California Air National Guard', 'ORGANIZATION'), ('National Park Service', 'ORGANIZATION')"
Hillside Fire,"('San Bernardino County', 'LOCATION'), ('San Bernardino', 'LOCATION')"
Ranch Fire,
Keyser Creek Fire,"('Morgan Gulch Trail', 'LOCATION'), ('Grand County Emergency Services', 'ORGANIZATION'), ('Parshall', 'LOCATION'), ('Arapaho National Forest', 'LOCATION'), ('Keyser Creek Fire', 'ORGANIZATION'), ('Colo.', 'LOCATION')"
Kern River Ranger District Prescribed RX,"('Glennville', 'LOCATION'), ('Alta Sierra', 'LOCATION'), ('Kennedy Meadows', 'LOCATION'), ('Sherman Pass Vista', 'LOCATION'), ('Kern River Ranger District', 'LOCATION'), ('Calif.', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Shirley Loop', 'PERSON'), ('San Joaquin Valley', 'LOCATION'), ('Sequoia National Forest', 'ORGANIZATION'), ('KERNVILLE', 'LOCATION'), ('Shirley Meadow Ski Area', 'LOCATION'), ('California Hot Springs', 'LOCATION'), ('John Lange', 'PERSON'), ('Isabella Lake', 'LOCATION'), ('Greenhorn Summit', 'LOCATION'), ('Greenhorn Mountain', 'LOCATION')"
Hoosier National Forest Prescribed Burns,"('National Weather Service', 'ORGANIZATION'), ('Indiana Interagency Coordination Center Dispatcher', 'ORGANIZATION'), ('U.S. Forest Service', 'ORGANIZATION'), ('Indiana Interagency Coordination Center', 'ORGANIZATION')"
SJNF Columbine District Prescribed Fire,"('Columbine Ranger District', 'LOCATION'), ('San Juan National Forest', 'LOCATION')"
SJNF Dolores District Prescribed Fire ,"('San Juan National Forest', 'LOCATION'), ('Dolores Ranger District', 'LOCATION')"
SJNF Pagosa District Prescribed Fire ,"('San Juan National Forest', 'LOCATION'), ('Pagosa Ranger District', 'LOCATION')"
Brisas Road Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Starr County', 'LOCATION')"
Waco Wetlands Prescribed Fire,"('McLennan County Texas', 'LOCATION'), ('Waco Fire Department', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION')"
Blanca Wetlands Rx,"('Facebook', 'ORGANIZATION'), ('Rio Grande National Forest', 'LOCATION'), ('Colorado Department of Fire Prevention and Control', 'ORGANIZATION'), ('BLM Front Range Fire and Aviation Management Unit', 'ORGANIZATION'), ('Blanca Wetlands', 'ORGANIZATION')"
